id,title,category,description,image,price
HOG015,Calefactor Niza 2 Niveles,Hogar,"Calefactor Niza con 2 niveles de potencia y modo ventilador. Sistema de seguridad contra sobrecalentamiento, termostato regulable y bajo consumo energético.",HOG015_calefactor_niza_2_niveles,1364
HOG016,Calienta Camas NIZA 2 Plazas,Hogar,"Calienta camas NIZA para 2 plazas con control de temperatura ajustable. Tejido suave, sistema de seguridad y apagado automático. Proporciona calor uniforme y confortable.",HOG016_calienta_camas_niza_2_plazas,1598
HOG017,CaloVentilador NIZA,Hogar,"Caloventilador NIZA compacto y potente. Función frío/calor, termostato ajustable y protección contra sobrecalentamiento. Ideal para habitaciones de hasta 20m².",HOG017_caloventilador_niza,998
TEC007,Camara Interior WIFI,Tecnologia,"Cámara interior WiFi con visión panorámica 360°, detección de movimiento y visión nocturna. Grabación en HD, audio bidireccional y compatible con app móvil.",TEC007_camara_interior_wifi,898
TEC008,Camara WIFI Con Audio,Tecnologia,"Cámara WiFi con audio bidireccional, resolución Full HD 1080p y almacenamiento en la nube. Detección de movimiento con alertas instantáneas y visión nocturna infrarroja.",TEC008_camara_wifi_con_audio,986
OTR002,Carpa Niño Castillo,Otros,"Carpa infantil con diseño de castillo. Fácil de montar, tela resistente y lavable. Espacio interior amplio para juegos. Incluye bolsa de transporte.",OTR002_carpa_niño_castillo,920
OTR003,Carpa Para 2 Personas con UV,Otros,"Carpa para 2 personas con protección UV. Montaje rápido, doble puerta con mosquitero y costuras selladas impermeables. Incluye estacas y cuerdas tensoras.",OTR003_carpa_para_2_personas_con_uv,1006
OTR004,Carpa Para 3 Personas,Otros,"Carpa espaciosa para 3 personas, medidas 2x1,5x1,1m. Estructura resistente al viento, tela impermeable y ventanas con malla antimosquitos. Ideal para camping.",OTR004_carpa_para_3_personas,1200
OTR005,Carpa Para 2 o 3 Personas,Otros,"Carpa versátil para 2 o 3 personas con doble capa. Resistente al agua, fácil montaje y ventilación optimizada. Perfecta para excursiones y campamentos.",OTR005_carpa_para_2_o_3_personas,1090
OTR006,Chaleco Hasta 80KG,Otros,"Chaleco salvavidas con capacidad hasta 80kg. Material flotante de alta densidad, correas ajustables y silbato de emergencia. Homologado para actividades acuáticas.",OTR006_chaleco_hasta_80kg,926
CPE002,Cortadora de Pelo SONIFER,Cuidado Personal,"Cortadora de pelo SONIFER premium con cuchillas de acero inoxidable y motor potente. 4 peines guía, autonomía de 90 minutos y pantalla LED. Corte profesional en casa.",CPE002_cortadora_de_pelo_sonifer,998
HOG018,Dispensador de Cereales,Hogar,"Dispensador de cereales hermético con capacidad para 3.5L. Conserva la frescura, fácil dispensación y diseño transparente para ver el contenido. Ideal para cocinas modernas.",HOG018_dispensador_de_cereales,998
HOG019,Estufa a GAS NIZA,Hogar,"Estufa a gas NIZA con 3 niveles de potencia y sistema de seguridad. Calefacción eficiente hasta 30m², encendido piezoeléctrico y ruedas para fácil transporte.",HOG019_estufa_a_gas_niza,3998
HOG020,Estufa a GAS Tipo Hongo,Hogar,"Estufa a gas tipo hongo para exteriores. Potencia de 13kW, altura ajustable y sistema anti-vuelco. Ideal para terrazas y jardines con cobertura de hasta 20m².",HOG020_estufa_a_gas_tipo_hongo,6998
HOG021,Escurridor de Platos,Hogar,Escurridor de platos con bandeja recolectora y compartimentos organizadores. Fabricado en plástico resistente y acero inoxidable. Capacidad para vajilla completa.,HOG021_escurridor_de_platos,998
TEC009,Extensor de Señal WIFI Tenda 300MPBS,Tecnologia,"Extensor de señal WiFi Tenda A9 con velocidad de hasta 300Mbps. Amplía la cobertura inalámbrica, instalación con un solo botón y compatible con todos los routers.",TEC009_extensor_de_señal_wifi_tenda_300mpbs,998
HOG022,Farol LED SIMIL camara,Hogar,"Farol LED con diseño símil cámara. Iluminación potente, batería recargable con autonomía de 8 horas y modos de luz ajustables. Perfecto para camping y emergencias.",HOG022_farol_led_simil_camara,906
HOG023,Frazada Doble Manta 2 Plazas,Hogar,"Frazada doble manta para 2 plazas. Tejido suave y cálido, bordes reforzados y diseño reversible. Ideal para invierno, lavable a máquina y resistente al uso diario.",HOG023_frazada_doble_manta_2_plazas,1600
HOG024,Freidora de Aire SUTAI,Hogar,"Freidora de aire SUTAI de 3.5L con tecnología de circulación de aire caliente. Cocina sin aceite, panel digital, temporizador y 8 programas preestablecidos.",HOG024_freidora_de_aire_sutai,2364
OTR007,Inflador Portatil Universal,Otros,"Inflador portátil universal con compresor digital. Pantalla LCD, presión preestablecida, luz LED y adaptadores para diferentes válvulas. Recargable vía USB o 12V.",OTR007_inflador_portatil_universal,1498
HOG025,Jarra Electrica de Vidrio SONIFER,Hogar,"Jarra eléctrica de vidrio SONIFER con capacidad de 1.7L. Iluminación LED, apagado automático y base giratoria 360°. Hierve agua en minutos con máxima seguridad.",HOG025_jarra_electrica_de_vidrio_sonifer,938
HOG026,Jarra Electrica NIZA,Hogar,"Jarra eléctrica NIZA de 1.8L con cuerpo de acero inoxidable. Elemento calefactor oculto, filtro antical desmontable y indicador de nivel de agua. Rápida y eficiente.",HOG026_jarra_electrica_niza,880
TEC010,Joystick Bluetooth T3,Tecnologia,"Joystick Bluetooth T3 con soporte para smartphone. Compatible con Android, iOS y PC. Batería recargable, botones programables y diseño ergonómico para largas sesiones.",TEC010_joystick_bluetooth_t3,848
HER001,Lapiz Premium para torno,Herramientas,"Lápiz premium para torno con motor de alta velocidad y precisión. Incluye 6 fresas intercambiables, control de velocidad variable y estuche de transporte.",HER001_lapiz_premium_para_torno,1098
HOG027,Licuadora Niza,Hogar,"Licuadora Niza con vaso de vidrio de 1.5L y cuchillas de acero inoxidable. Motor potente de 600W, 2 velocidades y función pulse. Ideal para batidos y sopas.",HOG027_licuadora_niza,1098
HOG028,Licuadora Niza 2 Velocidades,Hogar,"Licuadora Niza con 2 velocidades y función turbo. Vaso de vidrio reforzado de 1.8L, sistema de seguridad y base antideslizante. Potencia de 700W para todo tipo de preparaciones.",HOG028_licuadora_niza_2_velocidades,1398
HOG029,Licuadora Deportiva Recargable,Hogar,"Licuadora deportiva recargable con vaso de 380ml. Batería de litio, cuchillas de acero inoxidable y diseño portátil. Perfecta para batidos de proteínas y smoothies en cualquier lugar.",HOG029_licuadora_deportiva_recargable,898
CPE003,Maquina de Cortar Pelo Mascota KEMEI,Cuidado Personal,"Máquina de cortar pelo para mascotas KEMEI. Bajo nivel de ruido, cuchillas cerámicas, batería de larga duración y 4 peines guía. Ideal para perros y gatos de todos los tamaños.",CPE003_maquina_de_cortar_pelo_mascota_kemei,998
CPE004,Masajeador de Pies,Cuidado Personal,"Masajeador de pies con hidromasaje, burbujas y calor. 3 programas de masaje, rodillos para reflexología y control digital. Alivia la fatiga y mejora la circulación.",CPE004_masajeador_de_pies,1798
HOG030,Mesa Plegable para Notebook,Hogar,"Mesa plegable para notebook con altura ajustable y ventilador de refrigeración. Superficie antideslizante, ligera y portátil. Perfecta para trabajar desde cualquier lugar.",HOG030_mesa_plegable_para_notebook,698
TEC011,Microfono Inalambrico para Celular,Tecnologia,"Micrófono inalámbrico para celular con conexión Bluetooth. Ideal para grabaciones, karaoke y transmisiones en vivo. Batería recargable con 6 horas de autonomía.",TEC011_microfono_inalambrico_para_celular,568
OTR008,Mochila Chuwi 15,Otros,"Mochila Chuwi para laptop de hasta 15,6 pulgadas. Material resistente al agua, múltiples compartimentos, puerto USB externo y acolchado ergonómico para mayor comodidad.",OTR008_mochila_chuwi_15,810
OTR009,Paraguas 3d Infantiles,Otros,"Paraguas 3D infantiles con diseños divertidos que cobran vida. Apertura automática, varillas flexibles anti-viento y material impermeable de alta calidad. Tamaño ideal para niños.",OTR009_paraguas_3d_infantiles,580
TEC012,Parlante Bluetooth con linterna usb radio,Tecnologia,"Parlante Bluetooth multifunción con linterna LED, radio FM y lector USB/SD. Batería recargable, sonido estéreo y diseño compacto. Perfecto para exteriores y emergencias.",TEC012_parlante_bluetooth_con_linterna_usb_radio,426
CPE005,Patillera Corta pelo barba profesional KEMEI,Cuidado Personal,"Patillera profesional KEMEI para barba y vello facial. Cuchillas de titanio, 5 longitudes ajustables, pantalla LED y batería de litio con 120 minutos de autonomía. Acabado de barbería en casa.",CPE005_patillera_corta_pelo_barba_profesional_kemei,1908
HOG031,Plancha Ceramica a vapor SONIFER,Hogar,"Plancha cerámica a vapor SONIFER con suela antiadherente. Sistema antigoteo, spray, vapor vertical y control de temperatura ajustable. Deslizamiento suave para un planchado perfecto.",HOG031_plancha_ceramica_a_vapor_sonifer,1150
HOG032,Plancha a vapor SONIFER,Hogar,"Plancha a vapor SONIFER con potencia de 2200W. Depósito de agua de 300ml, función de autolimpieza y apagado automático. Planchado eficiente con mínimo esfuerzo.",HOG032_plancha_a_vapor_sonifer,1090
TEC013,Reloj Inteligente KALOBEE SK40,Tecnologia,"Reloj inteligente KALOBEE SK40 con pantalla táctil a color. Monitoreo cardíaco, seguimiento de actividad física, notificaciones y resistencia al agua IP67. Compatible con Android e iOS.",TEC013_reloj_inteligente_kalobee_sk40,2236
TEC014,Reloj Inteligente LENOVO,Tecnologia,"Reloj inteligente LENOVO con múltiples modos deportivos, monitoreo de salud 24/7 y batería de larga duración. Pantalla HD, resistente al agua y diseño elegante para uso diario.",TEC014_reloj_inteligente_lenovo,1580
HOG033,Sandwichera Niza,Hogar,"Sandwichera Niza con placas antiadherentes para 2 sándwiches. Luz indicadora, cierre de seguridad y almacenamiento vertical. Prepara sándwiches tostados en minutos.",HOG033_sandwichera_niza,1000
HOG034,Sandwichera SONIFER,Hogar,"Sandwichera SONIFER con capacidad para 4 sándwiches. Placas con revestimiento antiadherente, control de temperatura y diseño compacto. Ideal para desayunos y meriendas rápidas.",HOG034_sandwichera_sonifer,998
HOG035,Sarten STONE ANTIADHERENTE,Hogar,"Sartén STONE con revestimiento antiadherente de piedra. Diámetro de 28cm, distribución uniforme del calor y mango ergonómico resistente al calor. Cocina saludable con mínimo aceite.",HOG035_sarten_stone_antiadherente,998
CPE006,Secador de Pelo KEMEY KM-8219,Cuidado Personal,"Secador de pelo KEMEY KM-8219 profesional con 2200W de potencia. Tecnología iónica, 3 temperaturas, 2 velocidades y boquilla concentradora. Secado rápido con mínimo daño al cabello.",CPE006_secador_de_pelo_kemey_km8219,1216
CPE007,Set manicura pedicura,Cuidado Personal,"Set completo de manicura y pedicura con 7 accesorios profesionales. Incluye cortaúñas, lima, tijera y herramientas para cutículas. Todo en estuche compacto para uso en casa o viajes.",CPE007_set_manicura_pedicura,546
HOG036,Set TERMO + MATE GLUCK Verde,Hogar,Set termo + mate GLUCK color verde. Termo de acero inoxidable de 1L que mantiene la temperatura por horas y mate de acero con interior cerámico. Incluye bombilla de acero inoxidable.,HOG036_set_termo__mate_gluck_verde,1298
HOG037,Set TERMO + MATE GLUCK Blanco,Hogar,Set termo + mate BRIO color blanco. Termo con doble pared aislante de 1L y mate con revestimiento interno que no altera el sabor. Set completo con bombilla y limpiador.,HOG037_set_termo__mate_gluck_blanco,1298
HOG038,Set TERMO + MATE GLUCK Negro,Hogar,Set termo + mate GLUCK color negro. Termo de alta calidad con conservación térmica superior y mate resistente a golpes. Diseño elegante y práctico para disfrutar del mate en cualquier lugar.,HOG038_set_termo__mate_gluck_negro,1298
HOG039,Set TERMO + MATE BRIO BEIGE,Hogar,Set premium termo + mate BRIO color beige. Termo de 1.1L con tecnología de aislamiento avanzado y mate de doble pared. Incluye bombilla premium y bolso de transporte.,HOG039_set_termo__mate_brio_beige,1598
HER002,Sopladora MINI TURBINA,Herramientas,"Sopladora mini turbina con potencia de 600W. Velocidad variable, bolsa recolectora y boquilla concentradora. Ideal para limpieza de jardines, talleres y espacios exteriores.",HER002_sopladora_mini_turbina,1776
HER003,Taladro con Percutor LUMAX 600W,Herramientas,"Taladro con percutor LUMAX de 600W. Mandril de 13mm, velocidad variable reversible y empuñadura auxiliar. Perfecto para trabajos en madera, metal y mampostería.",HER003_taladro_con_percutor_lumax_600w,1098
HOG040,Tendedero Vertical,Hogar,"Tendedero vertical plegable con 3 niveles y 18 barras. Estructura de acero resistente a la intemperie, compacto cuando está cerrado y con capacidad para colgar hasta 15kg de ropa.",HOG040_tendedero_vertical,1120
HOG041,Timbre Inalambrico Exterior,Hogar,"Timbre inalámbrico con alcance de 50 metros. Resistente al agua, 36 melodías, 4 niveles de volumen y fácil instalación sin cables. Funciona con pilas o conexión eléctrica.",HOG041_timbre_inalambrico_exterior,848
HOG042,Tortera Desmontable x3,Hogar,"Set de 3 torteras desmontables de diferentes tamaños (18, 22 y 26cm). Revestimiento antiadherente, base removible y cierre seguro. Ideal para tartas, pasteles y postres.",HOG042_tortera_desmontable_x3,446
HOG043,Tostadora SONIFER,Hogar,"Tostadora SONIFER de 2 ranuras anchas. 7 niveles de tostado, función descongelar, recalentar y cancelar. Bandeja recogemigas extraíble y elevador extra para piezas pequeñas.",HOG043_tostadora_sonifer,1110
TEC015,Tripode para Parlante altura 1,Tecnologia,"Trípode para parlante con altura ajustable hasta 1,8m. Capacidad de carga de 50kg, patas plegables y sistema de bloqueo seguro. Compatible con la mayoría de bafles y altavoces.",TEC015_tripode_para_parlante_altura_1,756
TEC016,TV LED ASANO 32'' HD Smart,Tecnologia,"TV LED ASANO 32 pulgadas HD Smart con resolución 1366x768. Sistema operativo Android TV, WiFi, Bluetooth, 2 puertos HDMI y 2 USB. Acceso a Netflix, YouTube y más aplicaciones.",TEC016_tv_led_asano_32_hd_smart,5998
TEC017,TV LED ASANO 43'' HD Smart,Tecnologia,"TV LED ASANO 43 pulgadas Full HD Smart con resolución 1920x1080. Procesador Quad Core, sonido Dolby Audio, conectividad completa y control por voz. Experiencia inmersiva con colores vibrantes.",TEC017_tv_led_asano_43_hd_smart,9472
TEC018,Ultrapods MAX TWS,Tecnologia,"Auriculares inalámbricos Ultrapods MAX premium con Bluetooth 5.2. Estuche de carga compacto, resistencia al agua IPX5, control táctil y hasta 25 horas de reproducción total.",TEC018_ultrapods_max_tws,430
TEC019,XIAOMI REDMI A3X,Tecnologia,"Smartphone XIAOMI REDMI A3X con pantalla HD+ de 6.71'', procesador octa-core, 4GB RAM, 64GB almacenamiento, cámara dual 13MP y batería 5000mAh. Android 14 con MIUI 14.",TEC019_xiaomi_redmi_a3x,5214
TEC020,XIAOMI REDMI NOTE 14,Tecnologia,"Smartphone XIAOMI REDMI NOTE 14 con 8GB RAM y 256GB almacenamiento. Pantalla AMOLED de 6.67'' 120Hz, procesador Snapdragon, cámara principal 108MP, carga rápida 67W y batería 5000mAh.",TEC020_xiaomi_redmi_note_14,10828
